编号,网站名称,首页网址,列表页,注册资本,省份,市,区,主体,描述页,状态,设置完成,是否需手工添加,备注,利息管理费,利息管理费时段,利息管理费是否分段,电话,办公所在省,办公所在市,办公所在区,办公地址,注册地址,上线时间,倒闭时间,倒闭原因,更新频率,信用代码,房屋编码
1476,眉州商贷,http://www.mzsd888.com/,,980,四川省,眉山市,,眉州汇财投资咨询有限公司,,问题平台?,是?,否?,平台失联 问题发生时间：2015-08-04 2014-11-28 打不开?,,,,,,,,,,2014-09-10?,2015-08-04?,平台失联 问题发生时间：2015-08-04?,1小时?,,
1477,全资本,http://www.quanziben.com/,,11380,北京市,北京市,,北京鹏全资本投资管理有限公司,,问题平台?,否?,否?,2016-11-24 暂停发标?,,,,,,,,,,2014-07-16?,,,1小时?,,
1478,汇财贷,http://www.huicaidai.com/,,10000,辽宁省,大连市,,大连汇财在线信息技术有限公司,,正常?,是?,否?,,,,,,,,,,,2014-04-30?,,,1小时?,,
1479,钱根源,http://www.qgy88.com/,,1000,广东省,深圳市,宝安区,深圳市钱根源电子商务有限公司,,问题平台?,是?,否?,,,,,,广东?,深圳?,宝安区?,深圳市宝安区创业一路宏发中心大厦720?,深圳市宝安区创业一路1004号宏发中心大厦720?,2014-03-21?,2015-11-19?,跑路?,1小时?,91440300093992159M?,
1480,欣欣贷,http://www.rrxxd.com/,,1000,江苏省,泰州市,,江苏中鑫欣达资产投资管理有限公司,,正常?,是?,否?,,,,,,,,,,,2014-06-05?,,,1小时?,,
1481,平安理财网,https://www.palcw.com/indexbody.rhm,,500,北京市,北京市,,北京聚合汇众科技有限公司,,预警平台?,是?,否?,原网站http://www.palcw.com/?,,,,,,,,,,2014-09-19?,,,1小时?,,
1482,乐天在线,http://www.letianzaixian.com/,,1000,山东省,德州市,,鑫广源投资管理咨询有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-09-12?,,,1小时?,,
1483,鸿利财富,http://www.holicf.com/,,600,山东省,莱芜市,,莱芜市鸿利资产管理有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-09-15?,,,1小时?,,
1484,金联储,http://www.jinlianchu.com/,,10000,北京市,北京市,,金联储（北京）金融信息服务有限公司,,预警平台?,是?,否?,,,,,,,,,,,2014-09-01?,,,1小时?,,
1485,万贝金服,http://www.wanbeidai.com/,,3916.67,广东省,深圳市,福田区,深圳万贝金融信息服务有限公司,,正常?,是?,否?,2018-01-05 原名万贝贷?,,,,400-991-8938?,广东?,深圳?,福田区?,深圳市福田区泰然六路苍松大厦南座1713-1?,深圳市福田区沙头街道深南西路车公庙工业区天安数码时代大厦主楼808?,2015-02-01?,,,1小时?,914403000882908739?,4403040040100100003000052?
1486,第一光年,http://www.d1gn.com/,,5000,广东省,深圳市,龙华区,深圳和数软件有限公司,,转型?,是?,否?,原主体深圳第一光年金融控股有限公司更改为深圳第一光年控股有限公司 第一计划先不采。2017/12/28 由福田移至龙华 原主体深圳第一光年控股有限公司更改为?,,,,,广东?,深圳?,福田区?,广东省深圳市福田区车公庙创新科技广场一期B座16层?,深圳市龙华区民治街道民治大道567号优城商务大厦北区A座1306?,2014-09-15?,2015-09-16?,转型?,1小时?,914403003116760323?,
1487,房车贷,http://www.fangchedai.com.cn/,,500,湖南省,长沙市,天心区,湖南星虹科技有限公司,,问题平台?,是?,否?,2014.11.25 清盘?,,,,0731-82596114 ?,,,,湖南省长沙市岳麓区枫林二路369号 ?,长沙市天心区友谊路268号万芙锦园8栋2302房?,2014-07-31?,2014-11-19?,暂停经营现打不开?,1小时?,,
1488,龙源金融,http://www.longyuanjinrong.com/index.htm,,2018,山东省,枣庄市,,枣庄龙源经济投资有限公司,,问题平台?,是?,否?,2014.12.29 提现困难，停止营业?,,,,,,,,,,2014-09-15?,2014-12-29?,终止运营?,1小时?,,
1489,民生投资,http://www.minshengtouzi.com/,,3000,内蒙古省,通辽市,,内蒙古神通投资有限责任公司,,问题平台?,是?,否?,,,,,,,,,,,2014-11-19?,,,1小时?,,
1490,贷贷巴,http://www.ddba8.com/,,6000,山东省,枣庄市,,枣庄市飞龙经济管理咨询有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-09-15?,,,1小时?,,
1491,拾贝理财,http://www.shibeilc.com/,,1660,安徽省,合肥市,,安徽拾贝金融信息技术有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-09-16?,,,1小时?,,
1492,嘉e贷,http://www.jiayidai.com/,,5000,天津市,天津市,,天津嘉业投资管理有限公司,,正常?,否?,否?,原嘉易贷http://www.jiayidai.cn/?,,,,400-8780-777?,,,,天津市和平区卫津路73号嘉利中心30层?,天津自贸区（中心商务区）响螺湾旷世国际大厦A座1704-8035号房间?,2016-05-31?,,,1小时?,,
1493,易小贷,http://www.365yxd.com/,,100,山东省,济宁市,,济宁百家裕商务信息咨询有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-08-31?,,,1小时?,,
1494,邦邦理财,https://www.bangbanglicai.com/,,3000,浙江省,杭州市,余杭区,浙江融邦投资管理有限公司,,预警平台?,是?,否?,杭州警方于2018年10月31日成功缉捕浙江融邦投资管理有限公司涉嫌非法吸收公众存款案（余杭“邦邦理财”）逃往境外的犯罪嫌疑人陈某某（系平台实际控制人） 20?,,,,400-680-5588?,上海?,上海?,虹口区?,上海市虹口区上海滩国际大厦黄浦路99号703室?,浙江省杭州市余杭区仓前街道文一西路1378号1幢D座661-1室?,2014-09-01?,2017-03-08?,暂停运营?,1小时?,91330110091687695C?,
1495,安捷财富,http://www.haoinvest.com/,,20000,上海市,上海市,,上海浩禄投资管理有限公司,,正常?,是?,否?,http://p2p.zhipu.cc/?,,,,,,,,,,2014-07-01?,,,1小时?,,
1496,云山信投,http://www.yunshanxintou.com/,,100,山东省,滨州市,,滨州市云山投资咨询有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-07-29?,,,1小时?,,
1497,爱融网,http://www.airongwang.com/,,1000,北京市,北京市,,爱融信息技术（北京）有限公司,,问题平台?,是?,否?,有些标采不到了?,,,,,,,,,,2014-06-30?,2015-06-29?,提现困难?,1小时?,,
1498,含聚贷,http://hanjudai.com/index.php,,2050,上海市,上海市,,上海含聚投资有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-08-31?,2014-10-13?,网站打不开?,1小时?,,
1499,放心金融,http://www.fangxindai.com/,,1000,北京市,北京市,,北京万泰源通网络科技有限公司,,问题平台?,是?,否?,原名 放心贷?,,,,,,,,,,2015-04-08?,2016-12-30?,网站打不开?,1小时?,,
1500,塞上贷,http://www.saishangdai.com/,,5000,宁夏省,银川市,,宁夏塞尚网代信息技术有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-10-22?,,终止运营?,1小时?,,
1501,汇富贷,http://www.huifudai.com/,,1000,上海市,上海市,,上海聚煌金融信息服务有限公司,,问题平台?,否?,否?,问题发生时间：2016-05-11 警方介入 打不开?,,,,,,,,,,2013-11-21?,,,1小时?,,
1502,三块钱,http://www.sankuaiqian.com/,,200,山东省,青岛市,,青岛三块钱信息科技有限公司,,警?,否?,否?,,,,,,,,,,,2014-07-31?,,,1小时?,,
1503,亿泰格翔,http://www.bzytgx.com/,,1000,山东省,滨州市,,滨州亿泰格翔投资咨询有限公司,,问题平台?,否?,否?,,,,,,,,,,,2015-01-15?,,,1小时?,,
1504,汇商贷,http://91hsd.com/,,300,浙江省,金华市,,温州汇商投资管理有限公司,,问题平台?,是?,否?,2018-07-18 网站无法打开 原网址：http://www.hsd39.com/?,,,,400-880-1290?,,,,,,2014-09-01?,,,1小时?,,
1505,鉴丰金融,http://www.jfjinrong.com/,,5000,上海市,上海市,,上海鉴丰金融信息服务有限公司,,问题平台?,否?,否?,有2条没金额，没采?,,,,,,,,,,2014-07-23?,2015-07-21?,网站打不开?,1小时?,,
1506,共创财富,http://www.j958.com/,,1000,浙江省,绍兴市,,绍兴市共创投资管理有限公司,,问题平台?,是?,否?,2015-03-19 打不开 网站失效?,,,,,,,,,绍兴市迪荡富绅大厦2502-3室?,2014-07-05?,,,1小时?,,
1507,盘盈贷,http://www.pydai.net/,,20000,上海市,上海市,,上海盘恒资产管理有限公司,,问题平台?,是?,否?,老站 http://mail.pheng.com.cn/ 注册不了没采?,,,,400-055-9997?,,,,上海市奉贤区海杰路919号1幢1097室?,,2014-07-16?,2016-09-22?,失联跑路?,1小时?,,
1508,开元贷,http://www.whhwky.com/,,1000,湖北省,武汉市,,武汉汉武开元投资管理有限公司,,警?,否?,否?,,,,,,,,,,,,,,1小时?,,
1509,美好时贷,http://www.meihaoshidai.com/,,1000,上海市,上海市,,上海乐信金融信息服务有限公司,,问题平台?,是?,否?,,,,,400-6898-678 ?,,,,上海市浦东商场路738号15A09室?,,2014-07-26?,2015-01-01?,网站打不开跑路?,1小时?,,
1510,钱庄网,http://www.qian360.com/,,3000,浙江省,杭州市,西湖区,杭州乾庄互联网金融服务有限公司,,预警平台?,是?,否?,2018年10月16日，杭州市公安局西湖分局对杭州乾庄互联网金融服务有限公司（平台名：钱庄网）涉嫌非法吸收公众存款案立案侦查。 2018-09-04 官网?,,,,,,,,,浙江省杭州市西湖区华星路96号3幢901室?,2014-06-30?,,,1小时?,,
1511,秋鑫贷,http://www.qiuxindai.com/,http://www.cha1688.com/,5000,广西省,南宁市,,广西秋鑫贷投资股份有限公司,,问题平台?,是?,否?,原名 陆鑫所?,,,,,,,,,,2014-08-26?,,,1小时?,,
1512,亿财贷,http://www.ecaidai.com/,,12000,湖南省,湘潭市,湘潭县,湖南鸿钒久通投资管理有限公司,,问题平台?,否?,否?,七月1条标?,,,,,,,,,湘潭县易俗河镇凤凰中路凯旋国际广场1028号?,2014-07-08?,2014-07-24?,网站打不开?,1小时?,,
1513,三板贷,http://www.3bd.cn,,5000,广东省,深圳市,南山区,深圳市益民宝金融信息服务有限公司,,问题平台?,是?,否?,2016-7-26 原名：益民宝 2016-04-28 原址：http://www.yimincaifu.com/ 原名益民财富 2015-5-14改.20?,,,,,广东?,深圳?,南山区?,深圳市南山区沙河街道香年广场[北区]主楼[C座]1903A??,深圳市南山区沙河街道香年广场[北区]主楼[C座]1903A?,2013-12-29?,2016-12-16?,网站打不开?,1小时?,91440300080131392G?,4403050040041200010000001?
1514,缤纷贷,http://www.binfendai.com/,,1000,山东省,济南市,,济南缤纷五洲网络信息服务有限公司,,正常?,是?,否?,,,,,,,,,,,2014-03-24?,,,1小时?,,
1515,可可贷,http://www.kekedai.com/,,600,上海市,上海市,,上海领鲜金融信息服务有限公司,,警?,是?,否?,51如易贷？？关系？？?,,,,,,,,,,,,,1小时?,,
1516,钱富通,http://www.qianft.com/,,5000,广东省,深圳市,南山区,深圳前海钱富通互联网金融服务有限公司,,正常?,是?,否?,http://www.qianfutong88.com/ 钱富通电子商务变成如今的深圳前海钱富通互联网金融服务有限公司 0755-23227776?,,,,400-060-6308?,广东?,深圳?,南山区?,深圳市南山区粤海街道高新科技园科技南十二路长虹科技大厦22G?,深圳市南山区粤海街道高新科技园科技南十二路长虹科技大厦22G?,2014-07-08?,,,1小时?,9144030032639867X4?,4403050020060100017000001?
1517,图腾贷,https://www.tutengdai.com/,,1278.1957,广东省,深圳市,前海,深圳前海图腾互联网金融服务有限公司,,正常?,是?,否?,http://www.tt1.com.cn/ 原网址?,,,,,广东?,深圳?,前海?,深圳市前海深港合作区临海大道59号海运中心口岸楼704?,深圳市前海深港合作区临海大道59号海运中心口岸楼704?,2014-09-10?,,,1小时?,91440300319478479E?,4403050020061700004000142?
1518,三分贷,https://www.3dai.com/,,2000,湖南省,长沙市,岳麓区,湖南建信互联网科技股份有限公司,,预警平台?,是?,否?,2017-04-13 主体由海宁汇利投资有限公司改成湖南建信互联网科技股份有限公司 旧网站http://www.3fendai.com/。三分贷自2014年?,,,,400-6848-555?,,,,湖南省长沙市湘江中路万达广场C2栋2605?,湖南省长沙市岳麓区天顶街道麓云路268号金悦雅苑二期商业14栋A区701?,2014-03-26?,2017-09-11?,转型开展实业并暂停P2P业务?,1小时?,,
1519,佰富行,http://www.baifuhang.com.cn/,,5000,江苏省,南京市,,江苏佰富行投资有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-11-15?,,,1小时?,,
1520,华融道,https://www.huarongdao.com/,,20000,上海市,上海市,,中秋（上海）金融信息服务有限公司,,预警平台?,是?,否?,原网址http://www.hrd800.com/ 8月16日，华融道宣布清盘兑付方案。平台称截止今年年底，会兑付完本金的8%。?,,,,400-1188-988?,,,,上海静安区天目西路218号嘉里不夜城一座3305室?,,2014-06-28?,2018-08-16?,清盘兑付?,1小时?,,
1521,世纪金服,https://nweb.sjjf888.com/,,5000,广东省,深圳市,前海,深圳市世纪贷互联网金融服务有限公司,,正常?,是?,否?,2017年12月19日起，平台所有活动标项目转移到存管版系统发布，旧版官网系统全面停止发布活动标。旧版官网：http://www.sjjf888.com/?,,,,400 886 1163?,广东?,深圳?,南山区?,广东省深圳市南山区龙井路口1号（欧陆经典花园旁）?,深圳市前海深港合作区前湾一路63号前海企业公馆25栋B单元2楼整层?,2014-07-21?,,,1小时?,914403003985551870?,4403050020060100037000001?
1522,典融金融,http://www.drjrchina.com/,,20000,上海市,上海市,,典融金融信息服务（上海）有限公司,,问题平台?,是?,否?,只能采到一页的，网址循环采，升级版新网站 原信任时贷 http://www.xinrenshidai.com/?,,,,,,,,,中国（上海）自由贸易试验区商城路618号2611-2620室 ?,2014-07-10?,,跑路了?,1小时?,,
1523,熠鑫财富,http://www.yixinmoney.com/,,1000,上海市,上海市,,上海熠鑫投资有限公司,,问题平台?,是?,否?,2015-02-04 打不开?,,,,,,,,,,2014-05-14?,2015-02-04?,打不开?,1小时?,,
1524,天涯贷,http://www.tianyayh.com/,,1000,海南省,海口市,,海南迅邦时代投资咨询有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-09-23?,,,1小时?,,
1525,广州e贷,http://www.gzdai.com/,,12000,广东省,广州市,海珠区,广州易贷金融信息服务股份有限公司,,正常?,是?,否?,,,,,（020）8900 0032?,,,,广州市海珠区广州大道南788号广一电商园2号楼4楼?,广州市海珠区广州大道南788号自编2栋之402房（仅限办公用途）?,2014-08-21?,,,1小时?,91440101304549115G?,
1526,小优贷,https://www.xiaoudai.com/,,100,北京市,北京市,,北京弘联信信息技术有限公司,,问题平台?,是?,否?,转型优计划无法采?,,,,,,,,,,2014-08-15?,2015-04-01?,都计划理财无法采?,1小时?,,
1527,有益贷,http://www.uydai.com/,,1000,广东省,广州市,天河区,广州市有义信息科技有限公司,,问题平台?,是?,否?,2014.11.3 提现困难?,,,,,,,,广州市天河区珠江新城珠江西路5号广州国际贸易中心2602室?,广州市天河区车陂新涌口西28号二楼南部位233房?,2014-08-15?,,提现困难?,1小时?,,
1528,金合社,http://www.kinhop.com/,,11000,福建省,厦门市,,富德胜金融技术服务有限公司,,正常?,是?,否?,,,,,,,,,,,2014-08-08?,,,1小时?,,
1529,盈赢贷,http://www.yingyingdai.com/,,1000,安徽省,芜湖市,,安徽众银金融服务有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-08-08?,,,1小时?,,
1530,易多财富,https://11dd.cn/,,100000,新疆省,乌鲁木齐市,新市区,新疆中怡泰悦商业咨询管理有限公司,,正常?,是?,否?,旧站：https://11dd.cn/ 新版：https://www.11dd.cn/ 之前主体：深圳前海中怡智互联网科技有限公司 办公地址：新疆乌鲁木齐?,,,,2104163912@qq.com|0991-2653816?,,,,新疆乌鲁木齐高新技术产业开发区（新市区）净水路999号实验楼201室2-2?,新疆乌鲁木齐高新技术产业开发区（新市区）净水路999号实验楼201室2-2?,2014-08-08?,,,1小时?,914403003061890963?,4403050020060100017000001?
1531,库天下,https://www.kutianxia.com/,,5000,江西省,宜春市,,宜春库银金融信息服务有限公司,,正常?,是?,否?,2016-09-28 原 200万 北京寺库商贸有限公司 ?,,,,4000068807?,,,,上海市静安区南京西路758号汇银大厦F1-F3 ?,江西省宜春市袁州区袁州大厦16楼?,2014-07-01?,,,1小时?,,
1532,进弘创利,https://www.jhmore.com/,,2000,上海市,上海市,,进弘金融信息服务（上海）有限公司,,问题平台?,是?,否?,2016/5/25 平台失联 ?,,,,,,,,,,2014-09-15?,,,1小时?,,
1533,艺融网,http://www.yirongw.com/,,12000,北京市,北京市,,艺融网（北京）信息技术服务有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-07-24?,2017-08-05?,网站打不开?,1小时?,,
1534,聚米立方,https://www.ijume.com/,,1000,云南省,昆明市,,云南汇邦商务有限公司,,问题平台?,是?,否?,平台诈骗 问题发生时间：2015-04-22 2015-4-25 ?,,,,,,,,,,2014-07-15?,2015-04-22?,平台诈骗 问题发生时间：2015-04-22?,1小时?,,
1535,多美贷,http://www.duomeidai.com/,,1000,北京市,北京市,,多美惠通（北京）网络科技有限公司,,问题平台?,否?,否?,,,,,,,,,,,2014-09-15?,,,1小时?,,
1536,一元投资,http://yiyuantouzi.com.cn/,,1000,安徽省,铜陵市,,铜陵市一元信息科技有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-07-01?,,,1小时?,,
1537,钱市网,http://www.qianshiwang.com/,,5000,浙江省,杭州市,下城区,杭州乾市电子商务有限公司,,预警平台?,否?,否?,2018-12-28 10:38:20 关于杭州乾市电子商务有限公司兑付方案 http://www.qianshiwang.com/ http://ww?,,,,,,,,,浙江省杭州市下城区新天地商务中心2幢西楼1305室?,2014-09-22?,,,1小时?,,
1538,融利网,http://www.rongli.com/,,1000,上海市,上海市,,上海融利网络信息技术有限公司,,转型?,否?,否?,,,,,,,,,,,2013-09-28?,2015-03-04?,,1小时?,,
1539,锐盈财富,https://www.rycaifu.com/,,3000,广东省,深圳市,前海,深圳前海锐盈达互联网金融服务有限公司,,正常?,是?,否?,锐盈财富与吉信佳重复?,,,,400-7351-777?,广东?,深圳?,南山区?,深圳市南山区高新科技园北区同方信息港B栋3层?,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳前海商务秘书有限公司）?,2015-02-01?,,,1小时?,91440300335283647A?,4403050020060100017000001?
1540,信诺宝,http://www.xnbp2p.com/,,1000,广东省,深圳市,罗湖区,深圳市信诺宝金融服务有限公司,,问题平台?,是?,否?,,,,,,广东?,深圳?,罗湖区?,深圳市罗湖区深南大道5015号京基100-D座（金龙大厦）13楼1304室?,深圳市罗湖区深南大道5015号京基100-D座（金龙大厦）13楼1304室?,2014-03-25?,,,1小时?,91440300087030121C?,
